model_id,model_type,language,weat_category,layer_idx,phase,linear_separability,steering_vector_applied,coefficient,baseline_bias,steered_bias,bias_reduction_percent,comments
DebK/pythia-70m-finetuned-alpaca-hindi,finetuned,en,WEAT1,0,separability_analysis,0.8,False,0.0,,,,LinearSep_finetuned_en_WEAT1_layer0
DebK/pythia-70m-finetuned-alpaca-hindi,finetuned,en,WEAT1,1,separability_analysis,0.74,False,0.0,,,,LinearSep_finetuned_en_WEAT1_layer1
DebK/pythia-70m-finetuned-alpaca-hindi,finetuned,en,WEAT1,2,separability_analysis,0.8,False,0.0,,,,LinearSep_finetuned_en_WEAT1_layer2
DebK/pythia-70m-finetuned-alpaca-hindi,finetuned,en,WEAT1,3,separability_analysis,0.81,False,0.0,,,,LinearSep_finetuned_en_WEAT1_layer3
DebK/pythia-70m-finetuned-alpaca-hindi,finetuned,en,WEAT1,4,separability_analysis,0.71,False,0.0,,,,LinearSep_finetuned_en_WEAT1_layer4
DebK/pythia-70m-finetuned-alpaca-hindi,finetuned,en,WEAT1,5,separability_analysis,0.66,False,0.0,,,,LinearSep_finetuned_en_WEAT1_layer5
DebK/pythia-70m-finetuned-alpaca-hindi,finetuned,en,WEAT1,3,bias_mitigation,0.81,True,-2.0,0.7500452995300293,0.9866739511489868,-31.548580527305603,SteeringVec_finetuned_en_WEAT1_layer3_coef-2.0
DebK/pythia-70m-finetuned-alpaca-hindi,finetuned,en,WEAT1,3,bias_mitigation,0.81,True,-1.0,0.7500452995300293,0.9862990379333496,-31.49859607219696,SteeringVec_finetuned_en_WEAT1_layer3_coef-1.0
DebK/pythia-70m-finetuned-alpaca-hindi,finetuned,en,WEAT1,3,bias_mitigation,0.81,False,0.0,0.7500452995300293,0.9859849810600281,-31.45672380924225,SteeringVec_finetuned_en_WEAT1_layer3_coef0.0
DebK/pythia-70m-finetuned-alpaca-hindi,finetuned,en,WEAT1,3,bias_mitigation,0.81,True,1.0,0.7500452995300293,0.9856413006782532,-31.410902738571167,SteeringVec_finetuned_en_WEAT1_layer3_coef1.0
DebK/pythia-70m-finetuned-alpaca-hindi,finetuned,en,WEAT1,3,bias_mitigation,0.81,True,1.6,0.7500452995300293,0.9856536388397217,-31.412547826766968,SteeringVec_finetuned_en_WEAT1_layer3_coef1.6
DebK/pythia-70m-finetuned-alpaca-hindi,finetuned,en,WEAT1,3,bias_mitigation,0.81,True,2.0,0.7500452995300293,0.9858779311180115,-31.44245147705078,SteeringVec_finetuned_en_WEAT1_layer3_coef2.0
DebK/pythia-70m-finetuned-alpaca-hindi,finetuned,en,WEAT1,2,bias_mitigation,0.8,True,-2.0,0.6266455054283142,0.9851142168045044,-57.20438361167908,SteeringVec_finetuned_en_WEAT1_layer2_coef-2.0
DebK/pythia-70m-finetuned-alpaca-hindi,finetuned,en,WEAT1,2,bias_mitigation,0.8,True,-1.0,0.6266455054283142,0.9858281016349792,-57.31830596923828,SteeringVec_finetuned_en_WEAT1_layer2_coef-1.0
DebK/pythia-70m-finetuned-alpaca-hindi,finetuned,en,WEAT1,2,bias_mitigation,0.8,False,0.0,0.6266455054283142,0.9859849810600281,-57.343339920043945,SteeringVec_finetuned_en_WEAT1_layer2_coef0.0
DebK/pythia-70m-finetuned-alpaca-hindi,finetuned,en,WEAT1,2,bias_mitigation,0.8,True,1.0,0.6266455054283142,0.9864362478256226,-57.41535425186157,SteeringVec_finetuned_en_WEAT1_layer2_coef1.0
DebK/pythia-70m-finetuned-alpaca-hindi,finetuned,en,WEAT1,2,bias_mitigation,0.8,True,1.6,0.6266455054283142,0.9867234826087952,-57.46119022369385,SteeringVec_finetuned_en_WEAT1_layer2_coef1.6
DebK/pythia-70m-finetuned-alpaca-hindi,finetuned,en,WEAT1,2,bias_mitigation,0.8,True,2.0,0.6266455054283142,0.9867867827415466,-57.471293210983276,SteeringVec_finetuned_en_WEAT1_layer2_coef2.0
